ensembl_gene_id	rnorvegicus_homolog_ensembl_gene	rnorvegicus_homolog_dn	rnorvegicus_homolog_ds	rnorvegicus_homolog_orthology_type	dnds
ENSG00000000003	ENSRNOG00000003786	0.0379	0.4844	ortholog_one2one	0.0782411230388109
ENSG00000000005	ENSRNOG00000060970	0.0245	0.363	ortholog_one2one	0.0674931129476584
ENSG00000000419	ENSRNOG00000010993	0.0539	0.4261	ortholog_one2one	0.126496127669561
ENSG00000000457	ENSRNOG00000025318	0.1047	0.5113	ortholog_one2one	0.204772149423039
ENSG00000000460	ENSRNOG00000059276	0.1612	0.412	ortholog_one2one	0.39126213592233
ENSG00000000938	ENSRNOG00000009912	0.0713	0.7886	ortholog_one2one	0.0904133908191732
ENSG00000001036	ENSRNOG00000015551	0.0978	0.7116	ortholog_one2one	0.13743676222597
ENSG00000001084	ENSRNOG00000006302	0.0295	0.4922	ortholog_one2one	0.059934985778139
ENSG00000001460	ENSRNOG00000031448	0.2105	0.7345	ortholog_one2one	0.286589516678012
ENSG00000001461	ENSRNOG00000037165	0.0445	0.6958	ortholog_one2one	0.0639551595286002
ENSG00000001497	ENSRNOG00000021748	0.2366	0.6394	ortholog_one2one	0.370034407256803
ENSG00000001561	ENSRNOG00000010174	0.1008	0.5071	ortholog_one2one	0.198777361467166
ENSG00000001617	ENSRNOG00000017704	0.0205	0.5905	ortholog_one2one	0.0347163420829805
ENSG00000001626	ENSRNOG00000055103	0.1339	0.5683	ortholog_one2one	0.235614992081647
ENSG00000001629	ENSRNOG00000005502	0.0302	0.4463	ortholog_one2one	0.0676674882366121
ENSG00000001630	ENSRNOG00000007234	0.0342	0.569	ortholog_one2one	0.0601054481546573
ENSG00000002016	ENSRNOG00000009742	0.2148	0.7137	ortholog_one2one	0.300966792770071
ENSG00000002330	ENSRNOG00000021147	0.1338	0.4812	ortholog_one2one	0.278054862842893
ENSG00000002549	ENSRNOG00000003289	0.046	0.5387	ortholog_one2one	0.0853907555225543
ENSG00000002586	ENSRNOG00000050735	0.3943	53.2891	ortholog_one2one	0.00739926176272446
ENSG00000002587	ENSRNOG00000010598	0.0627	1.0557	ortholog_one2one	0.0593918726911054
ENSG00000002745	ENSRNOG00000005781	0.0479	0.5843	ortholog_one2one	0.0819784357350676
ENSG00000002746	ENSRNOG00000016046	0.062	0.6184	ortholog_one2one	0.10025873221216
ENSG00000002822	ENSRNOG00000001265	0.0889	1.7982	ortholog_one2one	0.049438327216105
ENSG00000002834	ENSRNOG00000004132	0.0144	0.7839	ortholog_one2one	0.0183696900114811
ENSG00000002919	ENSRNOG00000008642	0.0743	0.5291	ortholog_one2one	0.14042714042714
ENSG00000002933	ENSRNOG00000023708	0.3824	0.7765	ortholog_one2one	0.492466194462331
ENSG00000003096	ENSRNOG00000014029	0.0287	0.4291	ortholog_one2one	0.066884176182708
ENSG00000003147	ENSRNOG00000008628	0.0545	0.4236	ortholog_one2one	0.128659112370161
ENSG00000003249	ENSRNOG00000026974	0.3776	1.0623	ortholog_one2one	0.355455144497788
ENSG00000003393	ENSRNOG00000023280	0.044	0.4741	ortholog_one2one	0.0928074245939675
ENSG00000003402	ENSRNOG00000012473	0.2368	0.5589	ortholog_one2one	0.423689389872965
ENSG00000003436	ENSRNOG00000005039	0.2486	0.7927	ortholog_one2one	0.313611706824776
ENSG00000003509	ENSRNOG00000005279	0.1041	0.5284	ortholog_one2one	0.197009841029523
ENSG00000003756	ENSRNOG00000018153	0.0082	0.3327	ortholog_one2one	0.0246468289750526
ENSG00000003987	ENSRNOG00000011420	0.027	0.5063	ortholog_one2one	0.0533280663638159
ENSG00000003989	ENSRNOG00000011016	0.0451	0.4948	ortholog_one2one	0.0911479385610348
ENSG00000004139	ENSRNOG00000010244	0.0319	0.7503	ortholog_one2one	0.0425163268026123
ENSG00000004142	ENSRNOG00000009252	0.026	0.4034	ortholog_one2one	0.0644521566683193
ENSG00000004399	ENSRNOG00000025209	0.0397	0.9896	ortholog_one2one	0.0401172190784155
ENSG00000004455	ENSRNOG00000000122	0.0334	0.6254	ortholog_one2one	0.053405820275024
ENSG00000004468	ENSRNOG00000003069	0.3005	0.6019	ortholog_one2one	0.499252367502907
ENSG00000004478	ENSRNOG00000006444	0.0539	0.4611	ortholog_one2one	0.116894382997181
ENSG00000004487	ENSRNOG00000022372	0.0272	0.4336	ortholog_one2one	0.0627306273062731
ENSG00000004534	ENSRNOG00000018333	0.0532	0.3348	ortholog_one2one	0.158900836320191
ENSG00000004660	ENSRNOG00000018242	0.033	0.4952	ortholog_one2one	0.0666397415185784
ENSG00000004700	ENSRNOG00000012602	0.0953	0.9785	ortholog_one2one	0.0973939703628002
ENSG00000004776	ENSRNOG00000020922	0.0589	1.2668	ortholog_one2one	0.0464951057783391
ENSG00000004777	ENSRNOG00000024677	0.0656	0.5961	ortholog_one2one	0.110048649555444
ENSG00000004779	ENSRNOG00000018129	0.0771	0.4185	ortholog_one2one	0.184229390681004
ENSG00000004799	ENSRNOG00000009565	0.0392	0.633	ortholog_one2one	0.0619273301737757
ENSG00000004838	ENSRNOG00000021602	0.0555	0.7324	ortholog_one2one	0.0757782632441289
ENSG00000004846	ENSRNOG00000006398	0.1271	0.5911	ortholog_one2one	0.215022838775165
ENSG00000004848	ENSRNOG00000053562	0.0414	0.6805	ortholog_one2one	0.0608376193975018
ENSG00000004864	ENSRNOG00000009957	0.0205	0.4439	ortholog_one2one	0.0461815724262221
ENSG00000004866	ENSRNOG00000056243	0.0244	0.3778	ortholog_one2one	0.0645844362096347
ENSG00000004897	ENSRNOG00000005904	0.0109	0.327	ortholog_one2one	0.0333333333333333
ENSG00000004939	ENSRNOG00000020951	0.1046	0.6665	ortholog_one2one	0.156939234808702
ENSG00000004948	ENSRNOG00000010053	0.1317	0.9437	ortholog_one2one	0.139557062625835
ENSG00000004961	ENSRNOG00000025910	0.0688	0.5657	ortholog_one2one	0.121619232808909
ENSG00000004975	ENSRNOG00000017915	0.0178	0.6328	ortholog_one2one	0.0281289506953224
ENSG00000005001	ENSRNOG00000039698	0.1521	0.8794	ortholog_one2one	0.172958835569707
ENSG00000005007	ENSRNOG00000020134	0.0049	0.9024	ortholog_one2one	0.00542996453900709
ENSG00000005020	ENSRNOG00000012228	0.0642	0.398	ortholog_one2one	0.161306532663317
ENSG00000005022	ENSRNOG00000039980	0.0064	0.2813	ortholog_one2one	0.0227515108425169
ENSG00000005059	ENSRNOG00000009433	0.1712	0.7254	ortholog_one2one	0.236007719878688
ENSG00000005100	ENSRNOG00000007054	0.0295	0.3635	ortholog_one2one	0.0811554332874828
ENSG00000005102	ENSRNOG00000020803	0.0969	0.7644	ortholog_one2one	0.126766091051805
ENSG00000005108	ENSRNOG00000030151	0.04	0.5676	ortholog_one2one	0.0704721634954193
ENSG00000005156	ENSRNOG00000021815	0.0593	0.4604	ortholog_one2one	0.128801042571677
ENSG00000005175	ENSRNOG00000053405	0.1243	0.781	ortholog_one2one	0.159154929577465
ENSG00000005187	ENSRNOG00000032246	0.0858	0.4274	ortholog_one2one	0.200748713149275
ENSG00000005189	ENSRNOG00000014513	0.245	0.4503	ortholog_one2one	0.544081723295581
ENSG00000005194	ENSRNOG00000016234	0.1134	0.513	ortholog_one2one	0.221052631578947
ENSG00000005206	ENSRNOG00000057881	0.1426	1.3413	ortholog_one2one	0.106314769253709
ENSG00000005238	ENSRNOG00000009323	0.0467	0.1569	ortholog_one2one	0.297641810070108
ENSG00000005243	ENSRNOG00000009225	0.0394	0.4862	ortholog_one2one	0.0810366104483752
ENSG00000005249	ENSRNOG00000009079	0.0148	0.382	ortholog_one2one	0.0387434554973822
ENSG00000005339	ENSRNOG00000005330	0.0199	0.3972	ortholog_one2one	0.0501007049345418
ENSG00000005379	ENSRNOG00000007957	0.1122	0.5	ortholog_one2one	0.2244
ENSG00000005381	ENSRNOG00000008310	0.0731	0.7513	ortholog_one2one	0.0972980167709304
ENSG00000005421	ENSRNOG00000008902	0.116	0.5222	ortholog_one2one	0.222137112217541
ENSG00000005436	ENSRNOG00000006888	0.1845	0.5278	ortholog_one2one	0.349564228874574
ENSG00000005469	ENSRNOG00000006779	0.086	0.6195	ortholog_one2one	0.138821630347054
ENSG00000005471	ENSRNOG00000008012	0.0489	0.5219	ortholog_one2one	0.0936961103659705
ENSG00000005483	ENSRNOG00000021614	0.0642	0.4469	ortholog_one2one	0.143656298948311
ENSG00000005486	ENSRNOG00000001443	0.0649	0.691	ortholog_one2one	0.0939218523878437
ENSG00000005513	ENSRNOG00000018841	0.0759	1.5856	ortholog_one2one	0.0478683148335015
ENSG00000005700	ENSRNOG00000027728	0.0919	0.5997	ortholog_one2one	0.153243288310822
ENSG00000005810	ENSRNOG00000010479	0.0207	0.5543	ortholog_one2one	0.037344398340249
ENSG00000005812	ENSRNOG00000059334	0.0188	0.541	ortholog_one2one	0.0347504621072089
ENSG00000005844	ENSRNOG00000017980	0.1753	0.6856	ortholog_one2one	0.255688448074679
ENSG00000005882	ENSRNOG00000004172	0.0359	0.7404	ortholog_one2one	0.0484873041599136
ENSG00000005884	ENSRNOG00000004276	0.0812	0.6285	ortholog_one2one	0.129196499602228
ENSG00000005893	ENSRNOG00000000164	0.2679	0.5505	ortholog_one2one	0.486648501362398
ENSG00000005961	ENSRNOG00000022071	0.127	0.5904	ortholog_one2one	0.215108401084011
ENSG00000005981	ENSRNOG00000009197	0.0377	0.8307	ortholog_one2one	0.0453834115805947
ENSG00000006007	ENSRNOG00000050445	0.0687	0.5298	ortholog_one2one	0.129671574178935
ENSG00000006015	ENSRNOG00000019990	0.2139	0.9173	ortholog_one2one	0.233184345361387
ENSG00000006016	ENSRNOG00000020030	0.0221	0.9596	ortholog_one2one	0.0230304293455607
ENSG00000006025	ENSRNOG00000009473	0.0349	0.6874	ortholog_one2one	0.050771021239453
ENSG00000006042	ENSRNOG00000021316	0.0086	0.5529	ortholog_one2one	0.0155543497920058
ENSG00000006047	ENSRNOG00000017117	0.0486	0.2522	ortholog_one2one	0.192704203013481
ENSG00000006059	ENSRNOG00000030344	0.0555	0.6578	ortholog_one2one	0.0843721495895409
ENSG00000006062	ENSRNOG00000003278	0.0793	0.6187	ortholog_one2one	0.128171973492807
ENSG00000006071	ENSRNOG00000021130	0.0221	0.6498	ortholog_one2one	0.0340104647583872
ENSG00000006116	ENSRNOG00000012362	0.0058	0.5241	ortholog_one2one	0.0110665903453539
ENSG00000006118	ENSRNOG00000021338	0.0716	0.6601	ortholog_one2one	0.108468413876685
ENSG00000006128	ENSRNOG00000007374	0.0143	0.2802	ortholog_one2one	0.0510349750178444
