pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
GRA	ARI	LG4	1	1000	0.8771929824561404	26
GRA	AUR	LG4	1	1000	0.9457364341085271	26
CAL	CLV	LG4	1	1000	0.352137249200349	26
CAL	ARI	LG4	1	1000	0.0	26
LON	PAR	LG4	1	1000	0.0344827586206896	26
LON	PUN-Y	LG4	1	1000	-0.0826784299449667	26
LON	PUN-R	LG4	1	1000	0.1094952262015066	26
LON	GRA	LG4	1	1000	0.5553698286669454	26
LON	CAL	LG4	1	1000	0.036036036036036	26
LON	CLV	LG4	1	1000	0.2365288898506817	26
LON	ARI	LG4	1	1000	-0.3846153846153843	26
LON	AUR	LG4	1	1000	0.7695060844667145	26
CAL	AUR	LG4	1	1000	0.933806146572104	26
CLV	ARI	LG4	1	1000	0.0	26
CLV	AUR	LG4	1	1000	0.5789473684210527	26
ARI	AUR	LG4	1	1000	1.0	26
PUN-Y	AUR	LG4	1	1000	0.6699358381107956	26
PUN-R	GRA	LG4	1	1000	0.5922856449284312	26
PUN-R	CAL	LG4	1	1000	0.1391970004686767	26
PUN-R	CLV	LG4	1	1000	0.0952380952380952	26
PUN-R	ARI	LG4	1	1000	-0.2095238095238095	26
PUN-R	AUR	LG4	1	1000	0.7025936599423631	26
GRA	CAL	LG4	1	1000	0.7936507936507937	26
GRA	CLV	LG4	1	1000	0.4105865522174535	26
PAR	CLV	LG4	1	1000	0.3833491611269389	26
PAR	ARI	LG4	1	1000	0.0307017543859649	26
PAR	AUR	LG4	1	1000	0.9367926170990772	26
PUN-Y	PUN-R	LG4	1	1000	-0.0454062650202049	26
PUN-Y	GRA	LG4	1	1000	0.4590966389993943	26
PUN-Y	CAL	LG4	1	1000	0.0364998406120497	26
PUN-Y	CLV	LG4	1	1000	-0.0719214844349025	26
PUN-Y	ARI	LG4	1	1000	-0.1695157396916104	26
PAR	PUN-Y	LG4	1	1000	0.0369880595853914	26
PAR	PUN-R	LG4	1	1000	0.132173213297792	26
PAR	GRA	LG4	1	1000	0.7903733693207378	26
PAR	CAL	LG4	1	1000	-3.8430797006255424e-17	26
LON	PAR	LG4	1001	2000	0.1905961376994122	121
LON	PUN-Y	LG4	1001	2000	-0.0140476199234167	121
LON	PUN-R	LG4	1001	2000	0.0266910175426838	121
LON	GRA	LG4	1001	2000	0.3978567552902876	121
LON	CAL	LG4	1001	2000	-0.0010384215991692	121
LON	CLV	LG4	1001	2000	0.4371338070932696	121
LON	ARI	LG4	1001	2000	0.6102911423023277	121
LON	AUR	LG4	1001	2000	0.4809691036146288	121
PAR	PUN-Y	LG4	1001	2000	0.0789177881909511	121
PAR	PUN-R	LG4	1001	2000	0.1177543618687898	121
PAR	GRA	LG4	1001	2000	0.4573974942235107	121
PAR	CAL	LG4	1001	2000	0.1667942739147583	121
GRA	ARI	LG4	1001	2000	0.5868057349398512	121
GRA	AUR	LG4	1001	2000	0.4918566775244299	121
CAL	CLV	LG4	1001	2000	0.4206165591391277	121
CAL	ARI	LG4	1001	2000	0.5542045822480175	121
CAL	AUR	LG4	1001	2000	0.4926052332195676	121
CLV	ARI	LG4	1001	2000	0.4648767306222396	121
CLV	AUR	LG4	1001	2000	0.4696703510828539	121
ARI	AUR	LG4	1001	2000	0.7312040652174664	121
PUN-Y	AUR	LG4	1001	2000	0.4487808571699762	121
PUN-R	GRA	LG4	1001	2000	0.4226168383112498	121
PUN-R	CAL	LG4	1001	2000	0.0600132752477664	121
PUN-R	CLV	LG4	1001	2000	0.4515901360092972	121
PUN-R	ARI	LG4	1001	2000	0.5940396983943765	121
PUN-R	AUR	LG4	1001	2000	0.5045500273323197	121
GRA	CAL	LG4	1001	2000	0.3996627318718381	121
GRA	CLV	LG4	1001	2000	0.4324764701794889	121
PUN-Y	GRA	LG4	1001	2000	0.3735311283743082	121
PUN-Y	CAL	LG4	1001	2000	-0.0270734392424139	121
PUN-Y	CLV	LG4	1001	2000	0.3867548863465752	121
PUN-Y	ARI	LG4	1001	2000	0.4923186702484889	121
PAR	CLV	LG4	1001	2000	0.4450547643324672	121
PAR	ARI	LG4	1001	2000	0.59689633932884	121
PAR	AUR	LG4	1001	2000	0.5383026440037771	121
PUN-Y	PUN-R	LG4	1001	2000	-0.0300772458116928	121
CAL	AUR	LG4	2001	3000	0.1637562800168204	143
CLV	ARI	LG4	2001	3000	0.1112737945863858	143
CLV	AUR	LG4	2001	3000	0.1931362954590735	143
ARI	AUR	LG4	2001	3000	0.3047130239590642	143
PUN-Y	GRA	LG4	2001	3000	0.2046076825347862	143
PUN-Y	CAL	LG4	2001	3000	0.0270714774175332	143
PUN-Y	CLV	LG4	2001	3000	0.1078145277586794	143
PUN-Y	ARI	LG4	2001	3000	0.0970480888341916	143
LON	PAR	LG4	2001	3000	0.1304214314342032	143
LON	PUN-Y	LG4	2001	3000	0.0160052471201237	143
LON	PUN-R	LG4	2001	3000	0.0261301542890912	143
LON	GRA	LG4	2001	3000	0.1902173913043478	143
LON	CAL	LG4	2001	3000	-0.010260920551158	143
LON	CLV	LG4	2001	3000	0.1491341482051071	143
LON	ARI	LG4	2001	3000	0.1510268132347837	143
LON	AUR	LG4	2001	3000	0.13948659236062	143
PAR	PUN-Y	LG4	2001	3000	0.1341386024206372	143
PAR	PUN-R	LG4	2001	3000	0.0912216625832248	143
PAR	GRA	LG4	2001	3000	0.2668237327544522	143
PAR	CAL	LG4	2001	3000	0.1511065328520312	143
PUN-Y	AUR	LG4	2001	3000	0.1228905979230602	143
PUN-R	GRA	LG4	2001	3000	0.2204938176720318	143
PUN-R	CAL	LG4	2001	3000	0.0473402658266806	143
PUN-R	CLV	LG4	2001	3000	0.1417877564116512	143
PUN-R	ARI	LG4	2001	3000	0.1570745646170389	143
PUN-R	AUR	LG4	2001	3000	0.1609361889533212	143
GRA	CAL	LG4	2001	3000	0.2118081180811808	143
GRA	CLV	LG4	2001	3000	0.2567888227423814	143
GRA	ARI	LG4	2001	3000	0.327227050117792	143
GRA	AUR	LG4	2001	3000	0.2261603155117925	143
CAL	CLV	LG4	2001	3000	0.1809012802662411	143
CAL	ARI	LG4	2001	3000	0.1548907006599836	143
PAR	CLV	LG4	2001	3000	0.2336900457656754	143
PAR	ARI	LG4	2001	3000	0.2378241097983983	143
PAR	AUR	LG4	2001	3000	0.2524188089771325	143
PUN-Y	PUN-R	LG4	2001	3000	-0.0292148636982373	143
PUN-Y	GRA	LG4	3001	4000	0.7256682125101289	64
PUN-Y	CAL	LG4	3001	4000	-0.0119947452849494	64
PUN-Y	CLV	LG4	3001	4000	0.8492208593214435	64
PUN-Y	ARI	LG4	3001	4000	-0.423390411510915	64
GRA	ARI	LG4	3001	4000	0.7735762575913832	64
GRA	AUR	LG4	3001	4000	0.7668783042015531	64
CAL	CLV	LG4	3001	4000	0.8614196683313707	64
CAL	ARI	LG4	3001	4000	0.2966968722595732	64
CAL	AUR	LG4	3001	4000	0.7265515632291181	64
CLV	ARI	LG4	3001	4000	0.827081077638367	64
CLV	AUR	LG4	3001	4000	0.8481713261423316	64
ARI	AUR	LG4	3001	4000	0.6532742802910472	64
PAR	CLV	LG4	3001	4000	0.8233896676872747	64
PAR	ARI	LG4	3001	4000	-0.1037830422624386	64
PAR	AUR	LG4	3001	4000	0.6713327690604857	64
PUN-Y	PUN-R	LG4	3001	4000	0.0971391045534948	64
PUN-R	ARI	LG4	3001	4000	0.6423275668389126	64
PUN-R	AUR	LG4	3001	4000	0.8197670898338951	64
GRA	CAL	LG4	3001	4000	0.7660884795751173	64
GRA	CLV	LG4	3001	4000	0.868948927752134	64
LON	CAL	LG4	3001	4000	0.0160805796077045	64
LON	CLV	LG4	3001	4000	0.8804669927523296	64
LON	ARI	LG4	3001	4000	0.3471760797342192	64
LON	AUR	LG4	3001	4000	0.7026498180421703	64
PAR	PUN-Y	LG4	3001	4000	0.0012676039958599	64
PAR	PUN-R	LG4	3001	4000	0.0496175455222364	64
PAR	GRA	LG4	3001	4000	0.7277970011534025	64
PAR	CAL	LG4	3001	4000	-0.0970629981439021	64
PUN-Y	AUR	LG4	3001	4000	0.6580633904172384	64
PUN-R	GRA	LG4	3001	4000	0.8625518672199171	64
PUN-R	CAL	LG4	3001	4000	0.1679302708658324	64
PUN-R	CLV	LG4	3001	4000	0.947353874143668	64
LON	PAR	LG4	3001	4000	0.0105808680630533	64
LON	PUN-Y	LG4	3001	4000	-0.0268495954466644	64
LON	PUN-R	LG4	3001	4000	0.0949697224054199	64
LON	GRA	LG4	3001	4000	0.7617332325912389	64
PAR	CLV	LG4	4001	5000	0.7565561603166749	96
PAR	ARI	LG4	4001	5000	0.5837671997024917	96
PAR	AUR	LG4	4001	5000	0.7905862111343248	96
PUN-Y	PUN-R	LG4	4001	5000	-0.1193907567942946	96
GRA	ARI	LG4	4001	5000	0.7102022246277907	96
GRA	AUR	LG4	4001	5000	0.7901234567901234	96
CAL	CLV	LG4	4001	5000	0.743133284944799	96
CAL	ARI	LG4	4001	5000	0.5329821645242282	96
CAL	AUR	LG4	4001	5000	0.7303921568627452	96
CLV	ARI	LG4	4001	5000	0.6122073664134224	96
CLV	AUR	LG4	4001	5000	0.7878941116978115	96
ARI	AUR	LG4	4001	5000	0.693033933507907	96
PUN-Y	GRA	LG4	4001	5000	0.6277817150956768	96
PUN-Y	CAL	LG4	4001	5000	0.0956744633130407	96
PUN-Y	CLV	LG4	4001	5000	0.6907758372484298	96
PUN-Y	ARI	LG4	4001	5000	0.4221780198204237	96
LON	CAL	LG4	4001	5000	-0.0290971382024221	96
LON	CLV	LG4	4001	5000	0.7470341350589276	96
