pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
LON	LG4	1	1000	0.0019674355495251	616	29	14740	3544
PAR	LG4	1	1000	0.0008201763379126	625	12	14631	3653
PUN-Y	LG4	1	1000	0.0042210790133227	617	64	15162	14223
AUR	LG4	1	1000	0.0	590	0	5080	13204
CLV	LG4	1	1000	0.0030840400925212	315	8	2594	7201
ARI	LG4	1	1000	0.0	429	0	4241	14043
GRA	LG4	1	1000	0.0012565971349585	620	15	11937	6347
CAL	LG4	1	1000	0.001010028136498	622	14	13861	4423
PUN-R	LG4	1	1000	0.0031118928426464	620	69	22173	7212
PAR	LG4	1001	2000	0.0179958643044766	755	322	17893	3387
AUR	LG4	1001	2000	0.0110834990059642	757	223	20120	1160
ARI	LG4	1001	2000	0.0029317697228144	695	44	15008	6272
CAL	LG4	1001	2000	0.0180093171230542	756	317	17602	3678
CLV	LG4	1001	2000	0.0299463031805039	730	290	9684	1716
PUN-R	LG4	1001	2000	0.0142974979378608	757	416	29096	5104
GRA	LG4	1001	2000	0.0177319803326707	750	339	19118	2162
PUN-Y	LG4	1001	2000	0.0198684096615011	756	459	23102	11098
LON	LG4	1001	2000	0.0152116402116402	757	276	18144	3136
CLV	LG4	2001	3000	0.0385474203784228	658	328	8509	1796
AUR	LG4	2001	3000	0.0275294727296281	664	425	15438	3798
GRA	LG4	2001	3000	0.0392812606280467	684	693	17642	1594
CAL	LG4	2001	3000	0.0311487958546782	683	529	16983	2253
ARI	LG4	2001	3000	0.0060449050086355	665	84	13896	5340
PUN-R	LG4	2001	3000	0.0210815438396233	687	591	28034	2881
PAR	LG4	2001	3000	0.0219553614750121	639	362	16488	2748
LON	LG4	2001	3000	0.0337162981352115	687	584	17321	1915
PUN-Y	LG4	2001	3000	0.0253405700729664	674	705	27821	3094
LON	LG4	3001	4000	0.002381183788512	819	49	20578	2354
PUN-Y	LG4	3001	4000	0.0041495825717531	818	84	20243	16612
PAR	LG4	3001	4000	0.0046296296296296	801	74	15984	6948
PUN-R	LG4	3001	4000	0.0002924166612515	819	9	30778	6077
ARI	LG4	3001	4000	0.0049532195927352	723	27	5451	17481
AUR	LG4	3001	4000	0.0033854663360671	819	71	20972	1960
CLV	LG4	3001	4000	0.0042462845010615	793	34	8007	4278
CAL	LG4	3001	4000	0.0019035215148023	812	38	19963	2969
GRA	LG4	3001	4000	0.003610108303249	819	77	21329	1603
LON	LG4	4001	5000	0.0029138337727209	852	63	21621	3327
PUN-R	LG4	4001	5000	0.001544952165904	884	52	33658	6437
PUN-Y	LG4	4001	5000	0.0047938249035141	885	118	24615	15480
PAR	LG4	4001	5000	0.0016164354990092	869	31	19178	5770
GRA	LG4	4001	5000	0.0011641945498447	889	27	23192	1756
CLV	LG4	4001	5000	0.0137322216772927	884	168	12234	1131
ARI	LG4	4001	5000	0.0086383852206637	867	101	11692	13256
AUR	LG4	4001	5000	0.0022169939372002	885	49	22102	2846
CAL	LG4	4001	5000	0.0035311997139281	871	79	22372	2576
LON	LG4	5001	6000	0.0059762621196924	889	143	23928	1020
PUN-Y	LG4	5001	6000	0.0053678560151563	889	136	25336	14759
PAR	LG4	5001	6000	0.0026749888542131	889	60	22430	2518
PUN-R	LG4	5001	6000	0.0050060557125555	889	186	37155	2940
ARI	LG4	5001	6000	0.0009720534629404	882	4	4115	20833
CLV	LG4	5001	6000	0.0170954356846473	889	206	12050	1315
CAL	LG4	5001	6000	0.0038644959710573	889	94	24324	624
GRA	LG4	5001	6000	0.0282763816868324	857	638	22563	2385
AUR	LG4	5001	6000	0.0036331746429466	889	87	23946	1002
PUN-Y	LG4	6001	7000	0.004123896185396	884	92	22309	18506
LON	LG4	6001	7000	0.0046538970264047	895	95	20413	4983
PAR	LG4	6001	7000	0.002806229830223	904	60	21381	4015
AUR	LG4	6001	7000	0.0029345372460496	891	65	22150	3246
CAL	LG4	6001	7000	0.0027582748244734	888	55	19940	5456
GRA	LG4	6001	7000	0.0045205805377111	890	95	21015	4381
PUN-R	LG4	6001	7000	0.0032816602075259	903	105	31996	8819
CLV	LG4	6001	7000	0.0077722326761024	902	95	12223	1382
ARI	LG4	6001	7000	0.0	843	0	2762	22634
LON	LG4	7001	8000	0.0063004528450482	777	128	20316	1496
PAR	LG4	7001	8000	0.0119619570546131	777	244	20398	1414
CAL	LG4	7001	8000	0.0044567978147313	777	93	20867	945
AUR	LG4	7001	8000	0.0037311624751659	777	77	20637	1175
ARI	LG4	7001	8000	0.0043891733723482	739	30	6835	14977
PUN-Y	LG4	7001	8000	0.0087688530340231	777	200	22808	12247
GRA	LG4	7001	8000	0.0287213327563825	777	531	18488	3324
CLV	LG4	7001	8000	0.0193214491086831	760	168	8695	2990
PUN-R	LG4	7001	8000	0.0065173116089613	777	208	31915	3140
LON	LG4	8001	9000	0.0093572181243414	889	222	23725	1195
PAR	LG4	8001	9000	0.0117744900639061	889	269	22846	2074
AUR	LG4	8001	9000	0.0144891944990176	889	354	24432	488
ARI	LG4	8001	9000	0.0110723043769042	863	149	13457	11463
CLV	LG4	8001	9000	0.0303617571059431	889	376	12384	966
CAL	LG4	8001	9000	0.0066674797739561	889	164	24597	323
GRA	LG4	8001	9000	0.017226683414831	861	384	22291	2629
PUN-Y	LG4	8001	9000	0.0083947428397781	889	221	26326	13724
PUN-R	LG4	8001	9000	0.0057040465880244	889	191	33485	6565
PUN-R	LG4	9001	10000	0.0075471698113207	861	284	37630	1340
CLV	LG4	9001	10000	0.0184701020494222	861	219	11857	1133
CAL	LG4	9001	10000	0.0127270374045472	861	295	23179	1069
LON	LG4	9001	10000	0.0149142431021625	861	340	22797	1451
AUR	LG4	9001	10000	0.0106958762886597	861	249	23280	968
PUN-Y	LG4	9001	10000	0.0147949330627475	861	452	30551	8419
PAR	LG4	9001	10000	0.0416496898908959	861	920	22089	2159
GRA	LG4	9001	10000	0.016572213635583	861	386	23292	956
ARI	LG4	9001	10000	0.014614369224967	853	155	10606	13642
LON	LG4	10001	11000	0.0035188581057639	854	71	20177	3847
PAR	LG4	10001	11000	0.0245167373880245	853	468	19089	4935
PUN-Y	LG4	10001	11000	0.0149502409150267	851	332	22207	16403
PUN-R	LG4	10001	11000	0.0038606625014735	854	131	33932	4678
GRA	LG4	10001	11000	0.0019626209911236	854	44	22419	1605
CAL	LG4	10001	11000	0.0069816373374139	849	146	20912	3112
CLV	LG4	10001	11000	0.0123917388407728	723	93	7505	5365
ARI	LG4	10001	11000	0.0	847	0	3180	20844
AUR	LG4	10001	11000	0.0031296023564064	854	68	21728	2296
AUR	LG4	11001	12000	0.0025080616266571	921	63	25119	1145
PUN-Y	LG4	11001	12000	0.0189029237699849	929	642	33963	8247
PUN-R	LG4	11001	12000	0.0042312753167006	937	164	38759	3451
